,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-3-a,245-1-0-b,245-1-3-b
2018061807589.0,"Osland, Erna",Under ein stein :,2014,"barnebøker, dyr, insekter, meitemakk, meitemark, midd, småkryp, snegler, sniglar, tusenbein, virvellause, virvelløse",nno,2014.0,,ei bok om små dyr,
2018061807612.0,"Bødker, Benni",Demonenes port,2012,"barnebøker, fiction, science",nob,2012.0,,,
2018061807613.0,"Berge, Atle",Keeperkongen,2012,"barnebøker, fotball, lettlest",nno,2012.0,,,
2018061907620.0,"Riordan, Rick",Athenes merke,2015,"barnebøker, fantastisk, fantasy, gresk mytologi, ungdomsbøker",nob,2015.0,,,
2018062607083.0,"Bødker, Benni",,2013,"barnebøker, fantastisk, fantasy",nob,2013.0,,,
2018062807068.0,"Walliams, David",Demontannlegen,2015,"barnebøker, barnelitteratur, humor, romaner, tannlegeskrekk",nob,2015.0,,,
2018062807069.0,"Treimo, Cecilie",Sommerhuset,2013,"barnebøker, familieforhold, familien, foreldre, fortellinger, ungdomsbøker",nob,2013.0,,,
2018070307054.0,"Unger, Camilla","Mia, Mons og sjørøverskatten",2013,"barnebøker, besteforeldre, billedbøker",nob,2013.0,,,
2018070507063.0,"Kvæven, Tore",Kameljegeren,2013,"barnebøker, fortellinger, humor, sahara, spenning",nno,2013.0,,,
2018070507103.0,"Grøntvedt, Nina Elisabeth",Absolutt ukyssa :,2012,"barnebøker, dagbøker, forelskelse, forelsking, sysken, søsken",nob,2012.0,,NB: Dette er ikke en klissete kjærlighetshistorie!!!,
2018070507111.0,"Chipman, Sissel",,2012,"aleneforeldre, barnebøker, besteforeldre, dyr, familien, hester, ridesport, søsken",nob,2012.0,,,
2018071607020.0,"Røssland, Tor Arve",Snatch,2014,"barnebøker, lettlest, litteratur, norsk, skjønnlitteratur, spenning, ungdomsbøker",nob,2014.0,,,
2018071707601.0,"Fleischer, Anne Vibeke",Vent på meg! :,2013,"barn, barnebøker, fedme, fortellinger, mestring, narrativer, overvekt, overvektige, problemer, samtale, selvoppfatning, tykke, vektproblemer",nob,2013.0,,Mathilde og Oliver veier for mye,
2018071707616.0,"Holm, Magnus",Snø,2014,"barnebøker, snø, vinter",nob,2014.0,,,
2018071707621.0,"Bruheim, Magnhild",Hyttemysteriet :,2015,"barnebøker, litteratur, norsk, spenning, spenningsbøker, stesøsken, ungdomsbøker",nno,2015.0,,roman,
2018071807016.0,"Tellegen, Toon",Ekornets fødselsdag og andre fortellinger,2012,"barnebøker, bursdag, ekorn, fødselsdag, litteratur, nederlandsk",nob,2012.0,,,
2018071807034.0,"Horst, Jørn Lier",Operasjon Solnedgang ; Operasjon Påskelilje,2014,"barnebøker, detektivbøker, krim",nob,2014.0,,,
2018071807042.0,"Di Fiore, Mariangela",Elefantmannen,2013,"annerledes, barnebøker, biografier, england, freaks, freakshows, mobbing, outsidere, sirkus",nob,2013.0,,,
