,håret,neglene,neglen,hendene,øynene,øyet,øyenvippene,øyenbrynene,ansiktet,pannen,hodet,halsen,nakken,skulderen,skuldrene,magen,brystet,brystene,fingrene,tommelen,ankelen,foten,tærne,tåen,tåa,rumpa,rumpen,lårene,leggene,knærne,kneet,armen,hånden,albuen,fingeren,lemmet,kjønnet
flettet,16.0,,,4.0,,,,,,,,,,,,,,,25.0,,,,,,,,,,,1.0,,,1.0,,,,
flommer,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flyr,7.0,,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
glitrer,2.0,,,,43.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
har,65.0,5.0,2.0,45.0,55.0,19.0,,3.0,43.0,14.0,84.0,68.0,2.0,11.0,4.0,35.0,10.0,,11.0,1.0,,10.0,2.0,,,3.0,1.0,2.0,,6.0,2.0,29.0,48.0,1.0,1.0,,
inn,23.0,142.0,10.0,165.0,21.0,5.0,,,227.0,11.0,1459.0,1.0,4.0,35.0,10.0,22.0,1.0,,324.0,24.0,1.0,82.0,16.0,3.0,4.0,2.0,,,,16.0,23.0,167.0,520.0,43.0,59.0,,
klissvått,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
å,11.0,,,17.0,46.0,10.0,,1.0,12.0,6.0,29.0,5.0,2.0,1.0,6.0,27.0,5.0,1.0,6.0,,,,3.0,,1.0,3.0,,,,5.0,1.0,,10.0,,4.0,,1.0
opp,79.0,,2.0,427.0,1445.0,6.0,,12.0,165.0,,514.0,10.0,1.0,6.0,60.0,23.0,2.0,1.0,38.0,333.0,3.0,62.0,7.0,1.0,,6.0,,,1.0,188.0,43.0,94.0,396.0,6.0,31.0,,
:,25.0,1.0,,43.0,149.0,18.0,,8.0,51.0,29.0,449.0,34.0,8.0,104.0,71.0,23.0,25.0,1.0,25.0,,,4.0,1.0,,,4.0,,,,4.0,2.0,30.0,66.0,3.0,5.0,,
flommende,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skal,12.0,,,10.0,15.0,3.0,,,6.0,,33.0,,6.0,2.0,,10.0,4.0,,3.0,,,6.0,,,,1.0,,1.0,,2.0,,3.0,1.0,,,,
liksom,13.0,,,1.0,10.0,,1.0,,4.0,,5.0,4.0,,,5.0,3.0,,,5.0,1.0,,1.0,,,,2.0,,,,1.0,,4.0,,,,,
løsnet,7.0,,1.0,1.0,1.0,,,,,,5.0,6.0,3.0,2.0,1.0,6.0,3.0,,3.0,,3.0,5.0,,,,,,,,,1.0,3.0,2.0,,,,
fait,70.0,,,1.0,8.0,,,,1.0,,18.0,,,,,,,,1.0,,,,,,,,,,,,,5.0,2.0,,1.0,,
at,32.0,2.0,1.0,111.0,94.0,6.0,,3.0,98.0,20.0,211.0,58.0,9.0,31.0,13.0,67.0,62.0,,24.0,4.0,1.0,20.0,2.0,,3.0,6.0,,7.0,1.0,6.0,2.0,41.0,55.0,3.0,5.0,,
trillet,1.0,,,,5.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
virret,1.0,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
omtrent,1.0,,,1.0,2.0,,,1.0,,1.0,13.0,,1.0,,3.0,1.0,1.0,1.0,,,,2.0,2.0,,,,,,,3.0,,,4.0,,,,
pyntet,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprang,1.0,,,2.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,4.0,,,,
samlet,39.0,,,36.0,1.0,,,,1.0,,,,,,,2.0,,,2.0,,,,,,,,,,,1.0,,,,,,,
svingte,13.0,,,,,,,,1.0,,11.0,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,
svinger,6.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
begynte,10.0,,,18.0,54.0,4.0,,,19.0,8.0,30.0,13.0,4.0,2.0,11.0,28.0,9.0,,10.0,1.0,,,1.0,,,,,3.0,,12.0,1.0,12.0,15.0,,2.0,,
bustet,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bølgende,10.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
enda,19.0,2.0,,18.0,80.0,1.0,,,24.0,22.0,45.0,9.0,4.0,3.0,4.0,3.0,2.0,,7.0,1.0,,5.0,3.0,,,3.0,,1.0,,4.0,1.0,9.0,32.0,1.0,1.0,,
etter,29.0,3.0,,72.0,76.0,9.0,,2.0,88.0,12.0,125.0,34.0,14.0,57.0,6.0,45.0,10.0,,64.0,1.0,6.0,35.0,6.0,,1.0,7.0,,4.0,4.0,41.0,2.0,37.0,226.0,4.0,6.0,,
festet,15.0,,,4.0,148.0,1.0,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,
lenger,5.0,,,14.0,26.0,1.0,,,21.0,,32.0,12.0,,1.0,,8.0,1.0,,7.0,,1.0,4.0,3.0,,1.0,1.0,,,,4.0,,19.0,20.0,,2.0,,
flyvende,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullt,36.0,,,,,1.0,,,76.0,,135.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,
gredd,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hennes.,14.0,,,8.0,19.0,,,,70.0,5.0,26.0,13.0,3.0,17.0,11.0,8.0,11.0,4.0,2.0,,1.0,3.0,,,,2.0,,3.0,,1.0,4.0,19.0,26.0,,,,
holdt,7.0,,,127.0,41.0,2.0,,,3.0,1.0,13.0,2.0,1.0,1.0,,2.0,8.0,1.0,11.0,1.0,2.0,1.0,,,,,,,,4.0,2.0,31.0,414.0,,,,
ikke,23.0,2.0,,19.0,51.0,14.0,,1.0,30.0,5.0,40.0,11.0,1.0,9.0,3.0,12.0,,1.0,19.0,1.0,3.0,5.0,,,,,,,1.0,8.0,2.0,3.0,6.0,1.0,3.0,1.0,1.0
—,12.0,1.0,,5.0,20.0,3.0,,,14.0,5.0,18.0,5.0,4.0,4.0,2.0,6.0,6.0,,4.0,,,2.0,,,,2.0,,,,,,2.0,9.0,,1.0,,
56,2.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
slik,41.0,1.0,,56.0,38.0,9.0,,2.0,38.0,23.0,173.0,26.0,7.0,27.0,16.0,18.0,15.0,,15.0,2.0,1.0,21.0,6.0,,1.0,1.0,,1.0,1.0,11.0,,33.0,66.0,6.0,7.0,,
unna,23.0,,,11.0,7.0,,,,4.0,,27.0,,,,,,,,19.0,,,2.0,,,,1.0,,,,,,8.0,17.0,,4.0,,
forsiktig,13.0,,,38.0,32.0,8.0,1.0,,5.0,1.0,104.0,1.0,1.0,4.0,,2.0,,,37.0,2.0,,34.0,4.0,1.0,,1.0,,1.0,1.0,2.0,2.0,46.0,154.0,1.0,13.0,,
;,26.0,3.0,,24.0,84.0,11.0,1.0,3.0,64.0,28.0,81.0,17.0,13.0,31.0,23.0,36.0,32.0,6.0,6.0,2.0,,6.0,2.0,,,,,2.0,1.0,9.0,4.0,17.0,56.0,,7.0,,
166,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
løftet,15.0,,,54.0,5.0,,,3.0,10.0,2.0,33.0,2.0,,1.0,6.0,,1.0,,1.0,1.0,,9.0,,,,,,,,2.0,1.0,12.0,19.0,,,,
spikerkort,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skaret,2.0,,,,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
lilla,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stod,21.0,,,1.0,3.0,,,,4.0,,2.0,2.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,
strøk,8.0,,,6.0,,,,,1.0,,,,,,,,2.0,,9.0,,,,,,,,,,,,,,21.0,,,,
står,39.0,,,,14.0,4.0,,,5.0,,6.0,3.0,3.0,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,1.0,,
ute,4.0,,,1.0,3.0,,,,2.0,,11.0,,,3.0,2.0,,,,,,,2.0,,,,2.0,,,,1.0,,1.0,4.0,,,,
vaiet,9.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
vekse,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hvor,2.0,1.0,,5.0,9.0,2.0,,,8.0,2.0,11.0,8.0,5.0,1.0,1.0,7.0,3.0,,4.0,2.0,2.0,1.0,,,,2.0,,1.0,,,,3.0,8.0,,1.0,,
b,2.0,1.0,,,,1.0,,,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
bakfra,2.0,,,1.0,,,,,1.0,,3.0,,,4.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,
bare,13.0,,,6.0,57.0,2.0,,,55.0,1.0,47.0,8.0,,,2.0,44.0,2.0,,4.0,1.0,1.0,1.0,3.0,,,,,,,7.0,1.0,5.0,11.0,,3.0,,
begravd,2.0,,,14.0,,,,,44.0,,30.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
bli,4.0,,,2.0,26.0,,,,12.0,1.0,9.0,6.0,1.0,,3.0,4.0,,,2.0,,,2.0,,,,,,,,,,11.0,14.0,,5.0,,1.0
blindet,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
bruste,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bundet,11.0,,,92.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,
farget,4.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
fikk,18.0,,,13.0,78.0,3.0,,4.0,58.0,6.0,13.0,5.0,1.0,6.0,4.0,13.0,4.0,,10.0,1.0,6.0,1.0,1.0,,,1.0,,,2.0,1.0,3.0,12.0,15.0,,,,
floket,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flomme,8.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foran,38.0,,,506.0,5.0,2.0,,,9.0,7.0,18.0,1.0,2.0,1.0,1.0,8.0,,,43.0,5.0,,125.0,4.0,,,,,,1.0,49.0,5.0,30.0,251.0,1.0,32.0,,
glatt,5.0,,,1.0,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gro,25.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hva,1.0,,,1.0,3.0,,,,2.0,,4.0,1.0,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,
innsmurt,1.0,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
jeg,14.0,,,3.0,54.0,7.0,2.0,,38.0,1.0,9.0,2.0,,,,2.0,2.0,,8.0,1.0,,,3.0,,,2.0,,1.0,,,1.0,12.0,31.0,,5.0,,
«,6.0,1.0,,12.0,21.0,,,1.0,11.0,12.0,43.0,6.0,1.0,11.0,25.0,3.0,4.0,,4.0,1.0,,3.0,1.0,,,,,,,,2.0,5.0,10.0,,1.0,,
),18.0,2.0,1.0,9.0,21.0,6.0,,,19.0,4.0,43.0,18.0,4.0,5.0,6.0,15.0,6.0,,7.0,5.0,,4.0,3.0,,,3.0,,2.0,,5.0,1.0,11.0,16.0,,2.0,,1.0
stikker,11.0,,,,4.0,,,,3.0,,11.0,1.0,1.0,2.0,,3.0,,,1.0,,,1.0,5.0,,1.0,,,,1.0,,,,1.0,,,,
spretter,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skvatt,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
vi,5.0,,,2.0,2.0,2.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,
oppover,1.0,2.0,,20.0,9.0,,,,18.0,,10.0,1.0,,,3.0,,,,3.0,1.0,,5.0,1.0,,,,,,,1.0,,,12.0,,2.0,,
seiv,8.0,,,7.0,32.0,2.0,1.0,2.0,13.0,4.0,22.0,8.0,1.0,3.0,2.0,10.0,,2.0,4.0,,3.0,,1.0,,,,,,,2.0,,5.0,3.0,,,,
spredte,2.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
rakte,5.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sånn,18.0,,,13.0,7.0,,,,15.0,2.0,22.0,1.0,3.0,2.0,1.0,,1.0,,1.0,,,1.0,1.0,,,2.0,,,,5.0,1.0,9.0,6.0,,1.0,,
raskt,6.0,,,19.0,7.0,,,,1.0,,31.0,,,,,,,,4.0,,,4.0,,,,,,,,,,9.0,47.0,,4.0,,
smiler,3.0,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annonserer,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blir,27.0,3.0,2.0,22.0,128.0,4.0,,3.0,41.0,7.0,28.0,28.0,3.0,2.0,2.0,28.0,5.0,,13.0,,1.0,4.0,3.0,,,,,,2.0,2.0,1.0,10.0,13.0,1.0,6.0,,
dansende,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gå,4.0,,,1.0,2.0,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,2.0,,
herm,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hénnes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kortklipt,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minst,1.0,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
■,1.0,,,2.0,2.0,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,
virvlet,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
minnet,6.0,,,,12.0,,,,7.0,,4.0,,4.0,1.0,,4.0,,,2.0,,,,,,,,,,,,,,,,,,
sitter,4.0,,,,5.0,5.0,,,4.0,,12.0,4.0,,1.0,,1.0,1.0,,1.0,,,4.0,1.0,,1.0,,,,,,1.0,1.0,2.0,2.0,,,
stablet,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iltert,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
filtret,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blafret,14.0,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
blåste,19.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
likner,4.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
han,28.0,1.0,1.0,13.0,25.0,5.0,,,49.0,1.0,14.0,,1.0,7.0,1.0,4.0,,,6.0,,,14.0,1.0,,,,,,,1.0,2.0,28.0,81.0,,8.0,,
idet,10.0,,1.0,15.0,139.0,5.0,,5.0,63.0,23.0,113.0,22.0,12.0,88.0,26.0,52.0,23.0,,11.0,1.0,,6.0,1.0,,,8.0,,1.0,,13.0,1.0,28.0,22.0,4.0,1.0,,
skrudde,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
streifet,3.0,,,,8.0,,,2.0,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,1.0,,,,,
sluttar,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strømmet,2.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
28,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
reiser,15.0,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
rakk,26.0,,,,5.0,78.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,1.0,,,,,
med.,9.0,,,9.0,10.0,1.0,,,13.0,,8.0,1.0,1.0,,,3.0,,,5.0,,,,,1.0,,1.0,,,,,,3.0,,,1.0,,
krølla,9.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
danser,3.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
grodde,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feiende,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
navn,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nedslått,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snakket,3.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
alle,2.0,,,1.0,8.0,,,,4.0,,15.0,,1.0,,,4.0,,,,,,,,,,,,,,1.0,,,6.0,,,,
skinte,30.0,,,,139.0,5.0,,,19.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
kastet,3.0,,,3.0,6.0,1.0,,,1.0,1.0,19.0,1.0,,,,1.0,,,2.0,,,,,,,,,,,,1.0,,4.0,,,,
mellom,16.0,,2.0,34.0,3.0,2.0,,,26.0,1.0,179.0,1.0,1.0,,,6.0,1.0,,18.0,6.0,1.0,5.0,3.0,,1.0,,,,,9.0,,5.0,30.0,1.0,8.0,,
ha,5.0,,,,,1.0,2.0,,3.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,
fanger,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fant,1.0,,,7.0,11.0,,,,,,3.0,,,,1.0,1.0,,,21.0,1.0,,4.0,1.0,,,,,,,,,,10.0,,,,
glinsa,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kraftig,1.0,,,,1.0,,,,,,9.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
hundre,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
inne,4.0,1.0,,9.0,2.0,1.0,,,8.0,,19.0,1.0,,,3.0,9.0,,,2.0,,,7.0,3.0,,,1.0,,,,3.0,,1.0,7.0,,1.0,,
blåser,5.0,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
mørkt,4.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opptil,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,
tre,2.0,,,10.0,3.0,,,,3.0,1.0,6.0,1.0,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,1.0,,229.0,,
lukter,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helt,16.0,2.0,,19.0,86.0,6.0,,11.0,105.0,2.0,112.0,13.0,4.0,,8.0,18.0,3.0,1.0,10.0,4.0,1.0,9.0,1.0,,1.0,3.0,,2.0,,13.0,1.0,15.0,13.0,,4.0,,
Før,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mai-Britt,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
besto,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
både,1.0,1.0,,4.0,3.0,,,,2.0,,1.0,1.0,1.0,,,2.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,
fire,1.0,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,
frem,5.0,,,67.0,4.0,,,,6.0,,126.0,6.0,,,3.0,1.0,29.0,4.0,3.0,1.0,1.0,27.0,,,,,,,,,,25.0,161.0,,5.0,,
først,8.0,1.0,,21.0,8.0,,,,103.0,3.0,339.0,1.0,2.0,23.0,5.0,10.0,1.0,,2.0,,,3.0,,,,21.0,,,,5.0,1.0,5.0,11.0,1.0,2.0,,
sidan,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noen,9.0,,,7.0,33.0,,3.0,,5.0,,30.0,,1.0,1.0,5.0,4.0,2.0,,10.0,,,2.0,1.0,,1.0,1.0,,,,2.0,2.0,1.0,12.0,2.0,1.0,,
to,7.0,,,9.0,4.0,,,,3.0,2.0,4.0,1.0,,3.0,,,2.0,,2.0,,,,,,,,,,,,,1.0,3.0,,,,
utslått,12.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
hvis,11.0,,,8.0,22.0,4.0,,,10.0,3.0,37.0,2.0,7.0,6.0,1.0,12.0,3.0,,2.0,,,6.0,1.0,,,6.0,,,,2.0,2.0,5.0,18.0,2.0,2.0,,
kjentes,5.0,,,1.0,5.0,,,,10.0,,22.0,17.0,2.0,,,14.0,,,4.0,,,,,,,,,2.0,,2.0,,2.0,4.0,,,,
Emilie,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dagen,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,
deira,2.0,2.0,,17.0,,,,,3.0,,2.0,,2.0,,3.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,
då,5.0,,,18.0,,,,,21.0,,,14.0,6.0,,5.0,16.0,2.0,,,,,7.0,,,,,,,,,1.0,3.0,,,3.0,,
fatt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
gynget,3.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
henge,27.0,,,15.0,,,,,,,17.0,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,13.0,6.0,,1.0,,
langt,11.0,1.0,,21.0,2.0,,,4.0,5.0,,29.0,,1.0,,,4.0,,,9.0,2.0,,2.0,1.0,,,1.0,,,,,,6.0,8.0,,1.0,,
nådde,17.0,,,1.0,,1.0,,,,,7.0,1.0,2.0,,,,2.0,,2.0,,,2.0,,,1.0,,,,,,,,1.0,,,,
rødt,10.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vokser,17.0,2.0,,1.0,2.0,,,,,1.0,3.0,10.0,,,,11.0,2.0,1.0,3.0,,,,,,,,,,,,,,1.0,,,,
sveiper,2.0,,,,9.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
uten,10.0,1.0,,19.0,89.0,4.0,,,19.0,3.0,100.0,3.0,5.0,19.0,30.0,9.0,6.0,,4.0,,,4.0,2.0,,1.0,,,,,4.0,,15.0,41.0,3.0,10.0,,
nesten,16.0,1.0,,6.0,62.0,7.0,,3.0,27.0,2.0,44.0,8.0,4.0,2.0,11.0,17.0,4.0,,4.0,,,4.0,5.0,,,,,,,10.0,,7.0,7.0,2.0,,,
blankere,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dannet,2.0,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
glir,2.0,,,5.0,23.0,,,,,,,,,,,,,,8.0,2.0,,4.0,,,,,,,,,,1.0,3.0,1.0,1.0,,
løp,1.0,,,3.0,12.0,,,,3.0,1.0,5.0,1.0,,4.0,3.0,,3.0,,5.0,,,2.0,,,,,,,,,,,5.0,,2.0,,
vipper,2.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
skjuler,8.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veks,5.0,,,,,,,,,,,2.0,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,,
34,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
snakker,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strøket,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lyser,3.0,,,,47.0,,,,30.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
blankt,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dannes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dratt,4.0,,,,,,,,5.0,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,
fniser,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luftig,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glinset,10.0,,,,15.0,2.0,,,14.0,6.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
går,2.0,,,3.0,3.0,1.0,,3.0,6.0,,13.0,10.0,,1.0,3.0,7.0,2.0,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,3.0,9.0,1.0,,,
knyttet,4.0,,,65.0,,,,1.0,,,,,,,,11.0,,,2.0,,,,,,,,,,,3.0,,,10.0,,,,
krøllet,16.0,,,2.0,4.0,,,,3.0,,1.0,,3.0,,,2.0,,,1.0,,,,4.0,,,,,,,,,,,,,,
vært,2.0,,,1.0,3.0,,,,2.0,1.0,3.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,
tørt,11.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nå,11.0,,,25.0,90.0,4.0,,,38.0,2.0,52.0,17.0,4.0,4.0,6.0,25.0,13.0,,3.0,1.0,3.0,6.0,2.0,,,2.0,,4.0,4.0,12.0,2.0,7.0,36.0,,2.0,,
nedover,8.0,5.0,1.0,24.0,2.0,2.0,,,3.0,,17.0,3.0,,,,1.0,,,24.0,3.0,,2.0,1.0,,,5.0,,1.0,,,,4.0,28.0,,41.0,,
plutselig,2.0,,,3.0,2.0,1.0,,,5.0,,1.0,2.0,,,,5.0,,,,,,,,,,,,,,,,1.0,1.0,,,,
ramler,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siden,9.0,1.0,,3.0,13.0,1.0,,,1.0,1.0,15.0,2.0,,,1.0,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,
sist,3.0,,,,,,,,1.0,,1.0,2.0,1.0,,,2.0,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,
stramt,19.0,,,13.0,,,,,4.0,,,,,,,,,,3.0,,2.0,,,,,,,,,,,1.0,2.0,,,,
tynnere,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
der,15.0,3.0,,45.0,95.0,5.0,,,57.0,21.0,72.0,40.0,21.0,30.0,18.0,32.0,36.0,,10.0,2.0,1.0,20.0,4.0,,,3.0,,3.0,1.0,6.0,4.0,39.0,58.0,,11.0,,
borte,8.0,,,8.0,10.0,1.0,,,3.0,1.0,5.0,1.0,,,,,2.0,,4.0,,1.0,2.0,,,,,,,,,,1.0,5.0,,,,
blafre,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bakover,",2.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
angikk,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
